 barcode ;Productos ;marca;Categoría;precio;stock;foto_url;foto_estado
 7.791.290.792.845 ;Jabon liq ALA matic p/diluir x500ml+bot;ALA;Almacen;9165.00;38;https://www.google.com/search?tbm=isch&q=Jabon+liq+ALA+matic+p/diluir+x500ml+bot;
 7.791.290.793.927 ;Lavavajilla ALA limon crem x750ml;ALA;Almacen;2192.00;39;https://www.google.com/search?tbm=isch&q=Lavavajilla+ALA+limon+crem+x750ml;
 7.791.290.793.903 ;Lavavajilla ALA glicerina crem x750ml;ALA;Almacen;2192.00;40;https://www.google.com/search?tbm=isch&q=Lavavajilla+ALA+glicerina+crem+x750ml;
 7.791.290.792.050 ;Jabon polvo ALA ecolavado x800g;ALA;Almacen;2940.00;41;https://www.google.com/search?tbm=isch&q=Jabon+polvo+ALA+ecolavado+x800g;
 7.791.290.792.142 ;Jabon polvo ALA matic mañana sol x800g;ALA;Almacen;2940.00;42;https://www.google.com/search?tbm=isch&q=Jabon+polvo+ALA+matic+mañana+sol+x800g;
 7.791.290.792.074 ;Jabon polvo ALA ecolavado x3kg;ALA;Almacen;9824.99;43;https://www.google.com/search?tbm=isch&q=Jabon+polvo+ALA+ecolavado+x3kg;
 7.791.290.792.159 ;Jabon polvo ALA matic mañana sol x3kg;ALA;Almacen;9824.99;44;https://www.google.com/search?tbm=isch&q=Jabon+polvo+ALA+matic+mañana+sol+x3kg;
 7.791.290.792.104 ;Jabon polvo ALA matic ecolavado x3kg;ALA;Almacen;9824.99;45;https://www.google.com/search?tbm=isch&q=Jabon+polvo+ALA+matic+ecolavado+x3kg;
 7.791.290.792.166 ;Jabon polvo ALA matic mañana sol x400g;ALA;Almacen;1461.00;46;https://www.google.com/search?tbm=isch&q=Jabon+polvo+ALA+matic+mañana+sol+x400g;
 7.791.290.792.098 ;Jabon polvo ALA matic ecolavado x400g;ALA;Almacen;1461.00;47;https://www.google.com/search?tbm=isch&q=Jabon+polvo+ALA+matic+ecolavado+x400g;
 7.791.290.792.067 ;Jabon polvo ALA ecolavado x400g;ALA;Almacen;1461.00;48;https://www.google.com/search?tbm=isch&q=Jabon+polvo+ALA+ecolavado+x400g;
 7.791.290.792.913 ;Jabon polvo ALA pro baja espuma x10kg;ALA;Almacen;28560.01;49;https://www.google.com/search?tbm=isch&q=Jabon+polvo+ALA+pro+baja+espuma+x10kg;
 7.791.290.791.770 ;Jabon polvo ALA matic c/bicarb x800g;ALA;Almacen;2563.00;50;https://www.google.com/search?tbm=isch&q=Jabon+polvo+ALA+matic+c/bicarb+x800g;
 7.791.290.793.200 ;Jabon liq ALA matic p/diluir d/px150ml;ALA;Almacen;2169.00;51;https://www.google.com/search?tbm=isch&q=Jabon+liq+ALA+matic+p/diluir+d/px150ml;
 7.791.290.794.306 ;Detergente ALA pomelo x500ml;ALA;Almacen;2367.00;52;https://www.google.com/search?tbm=isch&q=Detergente+ALA+pomelo+x500ml;
 7.791.290.794.320 ;Detergente ALA oceano x500ml;ALA;Almacen;2367.00;53;https://www.google.com/search?tbm=isch&q=Detergente+ALA+oceano+x500ml;
 7.791.290.794.900 ;Lavavajilla ALA flores bcas crem x750ml;ALA;Almacen;2192.00;54;https://www.google.com/search?tbm=isch&q=Lavavajilla+ALA+flores+bcas+crem+x750ml;
 7.791.290.794.283 ;Detergente ALA limon x500ml;ALA;Almacen;2367.00;55;https://www.google.com/search?tbm=isch&q=Detergente+ALA+limon+x500ml;
